id,FrameName,English,French,German,Spanish,Portuguese,Arabic,Chinese,Swedish
472,Destroying,"devastate.v, blow up.v, obliterate.v, destruction.n, demolition.n, devastation.n, blast.v, take out.v, annihilate.v, destroy.v, dismantle.v, level.v, annihilation.n, raze.v, vaporize.v, demolish.v, dismantlement.n, lay waste.v, obliteration.n, unmake.v, ruin.v, destructive.a","anéantir.v, anéantir.v","vernichten.v, kaputtmachen.v, zerstören.v, fressen.v, im Keim ersticken.m, ersticken.v, lösen.v, einebnen.v, verwüsten.v",,"destruição.n, arruinar.v",,,"utplåna.v, ödelägga.v"
473,Detaching,"decouple.v, unhook.v, untie.v, detach.v, undo.v, unhinge.v, unmoor.v, unfasten.v, unchain.v, unhitch.v",débrancher.v,"befreien.v, ablösen.v, lösen.v, trennen.v, abtrennen.v",,descolar.v,,,lösgöra.v
474,Detaining,"under arrest.a, intern.v, hold.v, internment.n, detain.v, at large.a, custody.n",,,,,,,"anhålla.v, frihetsberövande.n"
475,Detecting,", predator.n",reconnaître.v,,,,v.تعرف,,
476,Deteriorating,,"dégrader.v, détériorer.v",,,,,退化.n,
477,Detonate_explosive,"detonation.n, detonate.v, explode.v, blow up.v, blow.v",,detonieren.v,,,,,"sprängning.n, smälla.v"
478,Diagnosing,,,,,"diagnosticar.v, hipótese de diagnóstico.n, diagnóstico.n, diagnóstico.a",,,
479,Differentiation,"sort.v, discrimination.n, separate.v, differentiate.v, distinguishable.a, tell from.v, distinguish.v, tell apart.v, discriminate.v, know.v",,,"distinción.n, distinguir.v\n, diferenciación.n, diferenciar.v, discriminar.v",,,,urskilja.v
480,Differentiation,"sort.v, separate.v, discrimination.n, different.a, differentiate.v, distinguishable.a, tell from.v, distinguish.v, tell apart.v, discriminate.v, know.v",,,"distinción.n, diferenciación.n, diferenciar.v, discriminar.v, distinguir.v","distinguir.v, distinção.n, diferente.a",,,
481,Difficulty,"a bitch.n, tricky.a, a pain in the neck.n, like taking candy from a baby.adv, near thing.a, a snap.n, harsh.a, a piece of cake.n, a breeze.n, challenging.a, complicated.a, child's play.n, a cinch.n, impossible.a, a walk in the park.n, arduous.a, hard.a, a pain.n, ""childs play.n"", challenge.n, a doddle.n, difficulty.n, facility.n, complex.a, easy.a, ease.n, trivial.a, tough.a, no picnic.n, a bastard.n, difficult.a","aisance.n, aisance.n, difficile.a, difficile.a, difficulté.n, difficulté.n, facile.a, facile.a, problème.n, problème.n",,,"complexo.a, problema.n, sufoco.n, dificuldade.n, complicado.a, fácil.a, brabo.a, crítico.a, facilidade.n, impenetrável.a, difícil.a, facilmente.adv, impossível.a",,,"svår.a, enkel.a, svårighet.n, enkel.adv, enkelhelt enkelt:5.a, enkelhelt enkelt:3.adv, svår.adv, enkelhelt enkelt:9.adv, enkelhelt enkelt:17.adv, enkelhelt enkelt:1.adv, besvärlig.adv, besvärlig.a, vansklig.a, probleminga problem:16.n"
482,Dimension,"measure.v, level.n, depth.n, width.n, deep.a, grand.a, tall.a, around.adv, breadth.n, wide.a, weight.n, across.adv, length.n, height.n, broad.a, weigh.v, work.n, high.a, long.a, circumference.n, thick.a, area.n",,,longitud.n,"desnível.n, nível.n, comprimento.n, área.n, , altura.n",,,"längd.n, kort.a, kort.adv, smal.a, lång.a, väga.v, längelängrelång.adv, bred.adv, vidvidaregå vidare:2.adv, bred.a, tjock.a, höjd.n, vid.a, djup.adv, storlek.n, kortkort sagt.adv, uppmäta.v, skyhög.a, långlångt.adv, djup.a, vikt.n, radie.n, mätning.n, mäta.v"
483,Dining,", stall.n, saloon.n, bistro.n, fish and pay lake.n, karaoke bar.n, tent.n, snack bar.n, japanese restaurant.n, coffeehouse.n, bakery.n, beer parlour.n, bar.n, tacaca shop.n, arabic restaurant.n, cafeteria.n, rodizio restaurant.n, brewery.n, country pub.n, cocktail bar.n, self-service restaurant.n, beer store.n, ice cream shop.n, vegetarian restaurant.n, typical minas gerais restaurant.n, pizza restaurant.n, grocery store.n, caterer.n, italian restaurant.n, meat dish restaurant.n, sushi restaurant.n, eating place.n, açaí shop.n, buffet restaurant.n, temaki shop.n, bakeshop.n, burger shop.n, mexican restaurant.n, stand.n, taphouse.n, lunch.n, tea shop.n, pastelaria.n, dinner.n, fish and pay pond.n, portuguese restaurant.n, state liquor store.n, coffee shop.n, brazilian restaurant.n, ginmill.n, fast food.n, meal.n, pub.n, café.n, coffee bar.n, beer tent.n, booth.n, coffee vending machine.n, fast food restaurant.n, barbecue restaurant.n, tavern.n, public house.n, chinese restaurant.n, pothouse.n, cafe.n, supermarket.n, steak house.n, vegan restaurant.n, eating house.n, taproom.n, sandwich shop.n, restaurant.n, french restaurant.n, draft beer bar.n, european restaurant.n, breakfast.n, lunch counter.n, caff.n, market.n, food truck.n, bar & grill.n, buffet.n, liquor store.n, diner.n, luncheonette.n","bar.n, bistro.n, bistrot.n, boulangerie.n, brasserie.n, café.n, cafétéria.n, épicerie.n, fournil.n, pizzéria.n, rade.n, restaurant à viande.n, resto.n, sandwicherie.n, supermarché.n, taverne.n, tente.n",,"vegetariano.n, servicio, bocatería.n, fábrica, buffet, catering.n, licores, churrasquería.n, pub, gastroneta.n, rápida.n, cervecería.n, panificadora.n, comida.n, de, árabe.n, café.n, del, alcohólicas.n, pizzería.n, tacacazería.n, caladero.n, mexicano.n, mineiro.n, self-service.n, en, comida, portugués.n, supermercado.n, bufé.n, platos, cafetería.n, panadería.n, heladería.n, restaurante.n, tienda, japonés.n, comestibles.n, mercado.n, camión, y, sushi.n, expendedora, bistró.n, bebidas, barbacoa.n, especializado, karaoke.n, diner.n, italiano.n, pesque, ultramarinos.n, pub.n, restaurante, filetes.n, máquina, pague.n, cerveza.n, francés.n, taberna.n, temakeria.n, libre.n, cocina, chino.n, hamburguesería.n, stand.n, europea.n, carne.n, rodízio.n, pastelaria.n, puesto.n, vegano.n, restorán.n, estado.n, bar, bar.n, coctelería.n, caseta.n, açaiteria.n, brasileño.n","trailer.n, vegetariano.n, food truck.n, champanheria.n, restaurante mexicano.n, taberna.n, café.n, restaurante chinês.n, tacacazeira.n, cafeteria.n, restaurante brasileiro.n, bonbonnière.n, temakeria.n, patê.n, restaurante japonês.n, restaurante vegano.n, restaurante mineiro.n, fast-food.n, pizzaria.n, botequim.n, cervejaria.n, drinkeria.n, sorveteria.n, loja de cervejas.n, champanharia.n, restaurante europeu.n, supermercado.n, barraca.n, self-service.a, bistrô.n, feira.n, hamburgueria.n, padaria.n, pesque-pague.n, bufê.n, restaurante francês.n, podrão.n, barraquinha.n, churrascaria.n, pé-sujo.n, birosca.n, pub.n, buffet.n, pastelaria.n, restaurante self-service.n, lanchonete.n, rodízio.n, choperia.n, casa.n, loja de bebidas alcoólicas.n, loja de bebidas.n, restaurante.n, pesqueiro.n, restaurante português.n, restaurante italiano.n, chocolateria.n, boteco.n, bar.n, mercado.n, restaurante árabe.n, jantar.n, açaiteria.n, mercearia.n, bar-restaurante.n",,,
484,Direct_fouls,", splashing.n, tackle.n, sliding tackle.n, slide tackle.v, take down.v",,,"barrida.n, falta.n","carrinho.n, splashing.n, derrubar.v, , entrada.n",,,
485,Direction,"east.n, north.n, down.adv, right.adv, south.adv, east.adv, west.n, north.adv, true north.n, west.adv, way.n, left.adv, outward.adv, up.adv, direction.n, forward.adv, south.n",,,"oeste.n, norte.n","direita.adv, fora.adv, para frente.adv, destino.n, alto.a, esquerda.adv, rumo.n, adiante.adv, oeste.adv, , direção.n, sul.n, leste.n, mira.n, baixo.a, cima.adv, norte.adv, norte.n, oeste.n, ir.aux, leste.adv, para cima.adv, alto.adv, sul.adv, ser.aux, caminho.n",,,"norrut.adv, norrifrån.adv, nedåt.adv"
486,Directional_locative_relation,"east.n, north.n, southeast.n, south.adv, northeast.n, southwest.adv, above.prep, east.adv, northeast.adv, west.n, north.adv, west.adv, northwest.adv, southwest.n, southeast.adv, below.prep, northwest.n, south.n",bas.adv,,,"em cima.adv, sudeste.adv, acimar.v, noroeste.n, em frente.prep, acima.adv, nordeste.n, noroeste.adv, oeste.adv, , acima.prep, leste.n, abaixo.prep, nordeste.adv, norte.adv, norte.n, oeste.n, leste.adv, sul.adv, sudoeste.adv, fora de.prep, sul.n, sudoeste.n, sudeste.n",,,
487,Disability,,,,,"surdez.n, dislexia.n, paralisia.n, autismo.n, cegueira.n, daltonismo.n, paraplegia.n, tetraplegia.n, deformidade.n, nanismo.n",,,
488,Disaster_scenario,,,,,,,,
489,Discharge,"discharge.v, , dump.v","déversement.a, déverser.v, rejeter.v",,,,,,
490,Discussion,"discuss.v, parley.n, debate.n, discussant.n, parley.v, meeting.n, discussion.n, talk (to).v, confer.v, negotiate.v, exchange.n, dialog.n, talk.n, negotiation.n, conference.n, debate.v, consultation.n, talk over.v, interlocutor.n",,,"discusión.n, debatir.v, diálogo.n\n, debate.n, discutir.v, dialogar.v",,,,"debatt.n, diskussion.n, samtal.n, debattera.v"
491,Discussion,"discuss.v, haggle.v, parley.n, debate.n, discussant.n, parley.v, meeting.n, discussion.n, talk (to).v, communication.n, confer.v, communicate.v, negotiate.v, exchange.n, dialog.n, talk.n, negotiation.n, conference.n, debate.v, consultation.n, talk over.v, interlocutor.n","discuter.v, parler.v, réunion.n",,"discusión.n, debatir.v, debate.n, discutir.v, dialogar.v, diálogo.n","palestra.n, plenária.n, discurso.n, seminário.n, conferência.n, convenção.n, debate.n, painel.n, reunião.n, , conversa.n",,,
492,Disease,"bacterium.n, , disease.n",,,enfermedad.n,"doença.n, parasito.a, parasita.a, câncer.n, hérnia.n, zika.n, , bactéria.n, parasitar.v",,,
493,Disembarking,"detrain.v, deplane.v, disembarkation.n, dismount.v, debark.v, debus.v, alight.v, get.v, disembark.v",,"aussteigen.v, absteigen.v, heruntersteigen.v, von Bord gehen.m",,"desembarcação.n, pousar.v, desembarcar.v, desmontar.v",,,
494,Disgraceful_situation,"disgraceful.a, shameful.a",sans vergogne.adv,,,,,,
495,Dispersal,"dispersal.n, distribute.v, strew.v, disperse.v, dispersion.n, dissolve.v, dissolution.n, spread.v, pass on.v, scatter.v, distribution.n, sprinkle.v, disseminate.v",,"ausgeben.v, treten.v, verteilen.v, verstreuen.v",,"distribuir.v, espalhar.v, distribuição.n, espalhado.a, diluído.a, dispersar.v, dispersão.n, difundir.v, dissolver.v, diluir.v, difuso.a, difundido.a, dissolução.n, alastrar.v, dissolvido.a",,,"spridning.n, sprida.v, spridande.n, upplösa.v"
496,Display_of_affection,,,,,,,,
497,Display_process,", rodent.n, breeding.v","afficher.n, affichage.n",,,,n.ظهر,,
498,Distance_scenario,,,,,,,,
499,Distant_operated_IED,"RCIED.n, CWIED.n, command IED.n",,,,,,,
500,Distinctiveness,"characteristic.a, trademark.a, characterize.v, signature.n, trademark.n, distinct.a, marked.a, signature.a, distinctive.a, aspect.n",,,distinguir.v\n,,,,utmärka.v
501,Distinctiveness,"characteristic.a, trademark.a, characterize.v, trademark.n, signature.n, distinct.a, marked.a, signature.a, distinctive.a, aspect.n, character.n, characteristic.n",caractère.n,,,"característica.n, aspecto.n, característico.a, ter.v, garantir.v, diferenciar.v, marcado.a, forte.n, marcar.v, , aparência.n, distinção.n",,,
502,Distributed_abundanced,,,,,"revestir.v, cobrir.v",,,
503,Distributed_position,"decorate.v, encircle.v, cloak.v, adorn.v, around.prep, cover.v, litter.v, blanket.v, pave.v, film.v, line.v, garnish.v, stud.v, all over.prep, fill.v, coat.v, dot.v, festoon.v, over.prep, deck.v, wreathe.v, encrust.v, envelop.v, across.prep",,,,"sobre.prep, envolver.v, decoração.n, decorar.v, lotar.v, pontilhar.v, abastecer.v, ornamentar.v, , enfeitar.v, cercar.v, adornar.v, desarrumar.v, cobrir.v, revestir.v, alinhar.v, recobrir.v, pavimentar.v, encher.v, encapotar.v, incrustar.v",,,kanta.v
504,Distribution,", distribution.n, distributed.v, range.n","distribution.n, réparti.v, répartition.n",,,,,,
505,Disturbing,"harass.n, disturb.n, , disturbance.n","dérangement.a, déranger.v",,,,,,
506,Diversity,"scope.n, multiplicity.n, multifarious.a, uniform.a, array.n, melting pot.n, variety.n, range.n, variability.n, various.a, breadth.n, varied.a, homogeneity.n, assortment.n, homogeneous.a, mixed bag.n, uniformity.n, diversity.n, medley.n, miscellany.n, manifold.a, multifariousness.n, heterogeneity.n, diverse.a, diverseness.n, broad.a, assorted.a, heterogeneous.a","diversité.n, palette.n, varié.a, variété.n",,,"largura.n, amplo.a, extensão.n, multifacetada.n, uniformidade.n, diverso.a, caldeirão cultural.n, variedade.n, vário.a, puro.a, variação.n, heterogêneo.a, , diversidade.n, sortido.a, heterogeneidade.n, multiplicidade.n, sortimento.n, uniforme.a, mistura.n, homogeneidade.n, múltiplo.a, multifacetado.a, variabilidade.n, variado.a, diversificado.a, homogêneo.a",,,"mångfald.n, variation.n, mångfalt.adv, variabel.a, heterogen.a"
507,Do_phisical_activity,,,,,,,,
508,Documents,"diploma.n, treaty.n, summary.n, brief.n, international agreement.n, certificate of vaccination.n, testimony.n, agreement.n, decision.n, declaration.n, ruling.n, visa.n, contractual.a, deed.n, finding.n, identification.n, certificate.n, contract.n, business card.n, orders.n, permit.n, right.n, document.n, opinion.n, protocol.n, writ.n, accord.n, title.n, testament.n, license.n, deposition.n, lease.n, memo.n, charter.n, confirmation.n, visa run.n, convocation.n, passport.n, subpoena.n, pact.n, concession.n, warrant.n, will.n, papers.n, authorization.n, affidavit.n, summons.n","passeport.n, traité.n, visa.n","Schein.n, Bestätigung.n, Vorladung.n, Visum.n, Erlaubnis.n","de, tarjeta, escritura.n, licencia.n, orden.n, papeles.n, descubrimiento.n, autorización.n, citación.n, convocación.n, hallazgo.n, opinión.n, vacunación.n, contractual.a, pasaporte.n, seguro.n, descubierta.n, acuerdo.n, turista.n, garantía.n, documento.n, sumario.n, testimonio.n, declaración.n, decisión.n, convocatoria.n, carta.n, diploma.n, visa, confirmación.n, deposición.n, concesión.n, identificación.n, permiso.n, testamento.n, visa.n, contrato.n, título.n, derecho.n, nota.n, tratado.n","diário.n, laudo.n, termo de responsabilidade.n, boletim.n, escritura.n, concessão.n, declaração.n, direito.n, liminar.n, intimação.n, sumário.n, identificação.n, receita.n, registro de nascimento.n, autorização.n, cupom fiscal.n, lei.n, confirmação.n, descoberta.n, documentação.n, garantia.n, passaporte.n, protocolo.n, atestado.n, boletim de emergência.n, boletim de ocorrência.n, relatório.n, documento.n, , pedido médico.n, contratual.a, bandagem.n, papéis.n, carta.n, diploma.n, convocação.n, opinião.n, permissão.n, registro.n, ficha de internamento.n, prontuário.n, certidão de nascimento.n, decisão.n, acordo.n, certidão.n, testamento.n, licença.n, visto.n, histórico.n, ficha de notificação.n, nota.n, comprovante de vacinação.n, ordem.n, contrato.n, testemunho.n, título.n, depoimento.n, ficha de atendimento.n, relatório social.n, tratado.n",,,"kontrakt.n, betyg.n, licens.n, arbetstillstånd.n, passkomma till pass:4till pass:6.n"
509,Dodging,"dodge.v, sidestep.v, sidestep.n, dodge.n",,ausweichen.v,,,,,ducka.v
510,Domain,"financially.adv, in terms.idio, legally.adv, socially.adv, culturally.adv, historically.adv, emotionally.adv, psychologically.adv, geographically.adv, economically.adv",,"kulturell.a, geografisch.a, demographisch.a",,"em termos.idio, histórico.a, geograficamente.adv, musical.a, político.a, traumatológico.a, psicológico.a, social.a, obstétrico.n, cientificamente.adv, cultural.a, pediátrico.a, oftálmico.a, psiquiátrico.a, , arquitetônico.a, historicamente.adv",,,
511,Dominate_competitor,"dominant.a, domination.n, dominate.v, strongman.n",,"Herrschaft.n, dominieren.v",,,,,dominera.v
512,Dominate_situation,"predominate.v, dominant.a, domination.n, rule.v, male-dominant.a, dominate.v",dominer.v,"beherrschen.v, dominieren.v",,"dominar.v, predominar.v",,,
513,Domination,,,,,,,,
514,Dough_rising,"rise.v, prove.v",,aufgehen.v,,,,,
515,Downing,"shoot down.v, downing.n, down.v",,abschießen.v,,,,,
516,Dressing,"pull on.v, dress.v, don.v, throw on.v, put on.v, slip on.v, get on.v, dress up.v",,,,descalço.a,,,"klä.v, kläklä utklä ut sig.v"
517,Drilling,,,,,,,,
518,Driver,", motorist.n",conducteur.a,,,,,,
519,Drop_in_on,"drop in.v, stop in.v, pop in.v",,,,aparecer.v,,,tittatitta in.v
520,Drought,", drought.n",sécheresse.n,,,,,干旱.n,
521,Dunking,"dip.v, dunk.v",,tauchen.v,,,,,
522,Duplication,"duplicate.n, disaster.n, run off.v, copy.n, reduplicate.v, duplication.n, photocopy.n, replica.n, photocopy.v, replicate.v, clone.n, duplicate.v, reproduce.v, clone.v, copy.v","imprimer.v, impression.n","kopieren.v, fotokopieren.v, Kopie.n, vervielfältigen.v",,,n.طباعة,,fördubbling.n
523,Duplication,"duplicate.n, run off.v, copy.n, reduplicate.v, in image.adv, photocopy.n, copy.v, replica.n, photocopy.v, reproduce.v, replicate.v, clone.v, clone.n, duplicate.v, duplication.n",,"kopieren.v, fotokopieren.v, Kopie.n, vervielfältigen.v",,clonado.a,,,
524,Duplication_process,", immature.a, hatchling.v, mature.v, young.a, juvenile.a, maturity.n, adult.n","imprimer.v, impression.n",,,,"n.طباعة, p.طبع",,
525,Duration_description,"eternal.a, ephemeral.a, brief.a, lasting.a, momentary.a, perpetual.a, interim.a, long.a, persistent.a, sustained.a, chronic.a, enduring.a, short.a, abiding.a, rapid.a, continuous.a, lengthy.a, extended.a","interminable.a, long.a",lang.a,,"efêmero.a, incessante.a, duração.n, perpétuo.a, breve.a, duradouro.a, interino.a, prolongar.v, sustentável.a, fase.n, persistente.a, rápido.a, , curto.a, prolongado.a, eternamente.adv, crônico.a, eterno.a, momentâneo.a, estendido.a, de.adv, do.c, longo.a, durável.a, contínuo.a",,,"evigför evigt:14.adv, länge.adv, längeså länge:19så länge som:19.adv, plötslig.adv, längeså länge:1.adv, tillfällig.a, plötslig.a, längeän så länge:1så länge:2.adv, ständig.adv, längeså länge:9.adv, snarsnart.adv, snarsnarare.adv, längelängrelång.adv, längeså länge:3.adv, längeså länge:9så länge som:9.adv, evig.a, tillfällig.adv"
526,Duration_relation,"persist.v, during.prep, eight.n, for.prep, last.v",,laufen.v,,"durante.a, durar.v, perdurar.v, por.prep, dia.n, , durante.prep",,,vara.v
527,Duration_scenario,,,,,,,,
528,Dying,"dying.a, moribund.a",,sterben.v,,"falecimento.n, falecer.v, morrer.v, afogar.v, óbito.n, aguentar.v, morte.n, resistir.v",,,
529,Dynamic_situation_scenario,,,,,,,,
530,Dynamism,"stamina.n, lethargy.n, dynamic.a, lethargic.a, vigor.n, laziness.n, energetic.a, energy.n, lazy.a, vigorous.a, sluggish.a, vibrant.a, hard.a, intense.a, dynamism.n, sluggishness.n, intensity.n",dynamique.a,,,"intenso.a, vibrante.a, dinâmico.a, preguiça.n, intensificar.v, acomodado.a, preguiçoso.a, intensidade.n",,,"energi.n, intensiv.a, intensiv.adv, dynamisk.a, dynamisk.adv"
531,Earnings_and_losses,"result.n, pull.v, earn.v, profit.n, revenue.n, income.n, earnings.n, lose.v, net.n, make.v, loss.n, net.v",,,"beneficio.n, ganar.v, perder.v, pérdida.n\n, ganancia.n",,,,"vinst.n, tjäna.v, lön.n"
532,Earnings_and_losses,"result.n, pull.v, earn.v, profit.n, loss.n, revenue.n, earnings.n, lose.v, net.n, make.v, income.n, net.v",,,"beneficio.n, pérdida.n, ganar.v, perder.v, ganancia.n","ganhar.v, renda.n, render.v, custo.n, custo-benefício.n",,,
533,Eating and Drinking,,,", Schinken, Keks, Schweinefleisch, Bar, Wassermelone, Aufstrich, Durst, Erdbeere, Sekt, Pizzeria, Pfeffer, Mohrrübe, Salz, Aufschnitt, Chinese, Banane, Ananas, Süßigkeit, Abendessen, Senf, Paprika, reservieren.v, Futter, Tee, Brezel, Bohne, Karotte, Zitrone, Küche, Apfelstrudel, Honig, Toast, Aubergine, Kirsche, Olivenöl, Pfirsich, Café, naschen.v, Lebensmittel, fressen.v, speisen.v, Suppe, Kartoffelchips, frühstücken.v, Kalorie, Obst, Rezept, Mahlzeit, Margarine, Zutat, Kneipe, Zwiebel, Gurke, Meeresfrüchte, Brokkoli, Ei, Pizza, Hackfleisch, Nahrung, Beilage, Käse, Wasser: das stille Wasser.n, Zucker, Gasthaus, Nutella: das / die Nutella.n, Reis, essen.v, lecker.a, Grieche, Wein, Apfel, Bratkartoffel, Mahl, Garnele, Fisch, Fleisch, Truthahn, Gericht, Müsli, Dönerbude, Wurst, Kuchen, Salat, Mineralwasser, Kaffee, durstig.a, Putenfleisch, satt.a, trinken.v, Torte, die (pl.).n, Mittagessen, Saft, Öl, Bier, Butter, Hühnerfleisch, Birne, Mexikaner, Biergarten, Lauch, Speck, Milch, Döner, Brötchen, Knoblauch, Eis, Apfelsine, hungrig.a, Rindfleisch, das.n, Blumenkohl, Sahne, Imbiss, Traube, Ballaststoff, Schnitzel: das Wiener Schnitzel.n, der or das.n, Speise, Restaurant, Mais, Marmelade, Bonbon: das Bonbon / der Bonbon.n, schlucken.v, Aprikose, alkoholisch.a, Getränk, Nudel, Joghurt, schmecken.v, Hähnchen, Sandwich, saufen.v, der.n, Schnellimbiss, die.n, Praline, Frühstück, Backwaren, Brot, Limonade, Pommes, Himbeere, Cola, Besenwirtschaft, Popcorn, Thunfisch, Alkohol, Fritten, Hunger, Johannisbeere, Esszimmer, Pflaume, Artischocke, Hamburger, Pasta, Essen, Quark, Italiener, Gewürz, Kartoffel, Japaner, Möhre, Pilz, Gemüse, Fett, Cafeteria, Orange, Apfelmus: das / der Apfelmus.n, Tomate, alkoholfrei.a, Auflauf, Mensa, Schokolade",,,,,
534,Eclipse,"veil.v, occultation.n, shrouded.a, befog.v, becloud.v, veiled.a, mask.v, screened.a, occlude.v, cloaked.a, obscured.a, cover.v, screen.v, blot out.v, cloak.v, hide.v, conceal.v, obscure.v, enshrouded.a, shroud.v, eclipse.v, beclouded.a, eclipse.n, occlusion.n, enshroud.v, masked.a, block.v, concealed.a, befogged.a, hidden.a, covered.a, obstruct.v",,,,"proteger.v, mascarado.a, blindar.v, ocultação.n, amortalhar.v, protegido.a, blindado.a, obscurecido.a, , coberto.a, eclipse.v, velado.a, escondido.a, velar.v, cobrir.v, obscurecer.v, ocultar.v, mascarar.v, encoberto.a, eclipse.n, apagar.v, encobrir.v, bloquear.v, oclusão.n, amortalhado.a, esconder.v, obstruir.v",,,
535,Economy,"economy.n, economic.a",,Wirtschaft.n,,"economia.n, econômico.a",,,"ekonomisk.adv, ekonomisk.a"
536,Education,,,", Bibliothek, Schulferien, Bafög, die.n, lernen (für den / einen Test).v, das: das Abitur machen.n, (das).n, Lehrveranstaltung, büffeln.v, abschließen (das Studium abschließen).v, Klausur, schwänzen.v, Doktorand: der Doktorand / die Doktorandin.n, Lehrer: der Lehrer / die Lehrerin.n, Note, Student: der Student / die Studentin.n, Klasse, Studierende: der Studierende, Hörsaal, Abitur, das.n, Klassenzimmer, Kommilitone: der Kommilitone / die Kommilitonin.n, lernen.v, Schule, bestehen: die Prüfung / den Test bestehen.v, Schüler: der Schüler / die Schülerin.n, immatrikulieren, Schuljahr, Studienfach, Seminarraum, Abiturient: der Abiturient / die Abiturientin.n, unterrichten.v, exmatrikulieren.v, Studentenwohnheim, Studienjahr, Dozent: der Dozent / die Dozentin.n, durchkommen.v, Gesamtschule, Gymnasium, Hauptschule, Kurs, studieren.v, Semester, Schulstunde, (sich) immatrikulieren.v, durchfallen.v, Zensur, lehren.v, Semesterferien, ein Studierender /die, beibringen.v, Seminar, Kita, Prüfung, Realschule, Unterrichtsstunde, Zeugnis, Unterricht, Absolvent: der Absolvent / die Absolventin.n, Uni, belegen.v, einschreiben: (sich) einschreiben.v, Professor: der Professor / die Professorin.n, Vorlesung, eine Studierende.n, der.n, Mensa, Vorlesungsverzeichnis",,,,,
537,Education_professional,,,,,"normalista.n, gestor.n, alfabetizador.n, educador.n, vice-diretor.n, professor.n",,,
538,Education_teaching,"academic.a, instruction.n, schoolmistress.n, protege.n, teach.v, tutor.n, teacher.n, tutor.v, learn.v, train.v, educational.a, professor.n, instruct.v, school.v, master.v, study.v, lecturer.n, cram.v, schoolteacher.n, student.n, tutee.n, flunk.v, training.n, graduate.n, educate.v, education.n, lesson.n, pupil.n, coach.v, schoolmaster.n","académique.a, académique.a, apprendre.v, apprendre.v, apprentissage.n, apprentissage.n, classe.n, classe.n, cours.n, cours.n, diplôme.n, diplôme.n, doctorat.n, doctorat.n, école.n, école.n, éducatif.a, éducatif.a, éducation.n, éduquer.v, éduquer.v, enseignement.n, enseignement.n, enseigner.v, enseigner.v, équation.n, former.v, former.v, licence.n, licence.n, master.n, master.n, math.n, mathématiques.n, maths.n","lernen.v, studieren.v, ausbilden.v, lehren.v, Studentin.n, geben.v, unterrichten.v, vorbereiten.v, bilden.v, trainieren.v, erziehen.v, beibringen.v, erlernen.v","enseñar.v, aprender.v, aprender.v, enseñar.v\n","didático.a, evidência.n, ensinamento.n, aprendizado.n, repetir.v, mestrado.n, aluno.n, entender.v, magistério.n, situação-problema.n, escolar.a, educação.n, doutorado.n, educacional.a, treinado.a, , educar.v, treinar.v, educado.a, aula.n, bacharelado.n, curso.n, registro.n, cursar.v, normalista.a, disciplina.n, equação.n, lecionar.v, diplomar.v, matemática.n, ensinar.v, professor.n, aprender.v, matéria.n",,,"kurs.n, läralära siglära känna.v, läralära sig.v, utbilda.v, skola.n, förklara.v, bilda.v, elev.n, lektion.n, högskola.n, omskola.v, lära.v, universitet.n, upprepa.v, undervisning.n, student.n, inlärning.n, undervisa.v, utbildning.n, lära.n, lärlära.v, bildning.n, träna.v"
539,Educational_institution_attribute,,,,,"escolar.a, confessional.a, politécnico.a, educativo.a, bilingue.a",,,
540,Educational_time_division,,,,,"ciclo.n, recreio.n, letivo.a, aula.n, bimestral.a, bimestre.n, intervalo.n",,,
541,Electricity,"electric.a, photoelectricity.n, hydroelectricity.n, current.n, power.n, energy.n, electricity.n, juice.n, electric power.n, electrical.a, photoelectric.a, electrical power.n, hydroelectric.a",électricité.n,"Strom.n, Energie.n, elektrisch.a",,,,,
542,Electricity,"electric.a, current.n, photoelectricity.n, hydroelectricity.n, power.n, energy.n, electricity.n, juice.n, electric power.n, electrical.a, photoelectric.a, electrical power.n, hydroelectric.a",,"Strom.n, Energie.n, elektrisch.a",,,,,
543,Elements_and_compounds,"chlorine.n, nitrogen.n, , chloramine.n, iodine.n, arsenic.p","azote.n, oxygène.n",,,,,,
544,Elimination_tournament,", final.n, seeded side.n, tournament bracket.n, eighth finals.n, playoffs.n, group.n, compete.v, single-elimination.n, bracket.n, knockout.n, semifinal.n, sudden death tournament.n, group head.n, third place play-off.n, take on.v, round of sixteen.n, book place.v, quarter-finals.n, eliminate.v, semi.n, seed.n, move on.v, third place match.n, round of eight.n, the last sixteen.n, elimination.n, phase.n, semi-finals.n, knockout stages.n, repechage.n, stage.n, the last eight.n, knockout rounds.n, seeded team.n, dispute.v",,,"grupo.n, de, plaza.v, serie.n, final.n, eliminar.v, octavos, clasificar.v, cuartos, semifinal.n, asegurar, sembrado.n, cabeza, disputar.v","eliminar.v, semi.n, disputa do terceiro lugar.n, disputar.v, eliminatórias.n, semifinais.n, final.n, sistema eliminatório.n, fase.n, seguir.v, , mata-mata.n, oitavas de final.n, eliminação.n, chave.n, repescagem.n, grupo.n, quartas de final.n, conquistar vaga.v, cabeça de chave.n, quartas.n, passar.v, tirar.v, oitavas.n",,,
545,Elusive_goal,"evade.v, escape.v, elude.v",,,,"fugir.v, escapar.v",,,
