id,FrameName,EnglishLexicalUnits,FrenchLexicalUnits,PortugueseLexicalUnits,ChineseLexicalUnits,SpanishLexicalUnits,FrameElements,Link,Definition,LinkToBFN,MatchEvaluation,FrameRelation
,Covering_area_with_trees,"afforest 1,
afforestation 1,
reforest 1,
reforestation 1","boisement 1,
boiser 1,
reboisement 1,
reboiser 1","florestamento 1,
reflorestamento 1,
reflorestar 1",,,Agent Destination Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Covering_area_with_trees,An Agent places a Patient in a Destination so that the Destination becomes covered with the Patient.,?,NoMatch,Adding_trees_in_location :Is perspectivized in: Covering_area_with_trees
,Covering_locale,"atmosphere 1,
biosphere 1,
cryosphere 1,
ozone layer 1","atmosphère 1,
biosphère 1,
couche d'ozone 1",atmosfera 1,大气层 1,,Support,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Covering_locale,A locale with a specific composition defined according to the part of the Support is covers or surrounds.,?,NoMatch,Locale :Is inherited by: Covering_locale
,Cutting_trees,cut down 1,"abattage 2,
abattre 2,
coupe 1",,,,Agent Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Cutting_trees,"An Agent causes a Patient to fall to the ground by cutting it, usually at the base.",?,NoMatch,Cutting_trees :Is subframe of: Forestry
,Cycle_of_existence_scenario,,,,,,Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Cycle_of_existence_scenario,,Cycle_of_existence_scenario,?,"Become_rejuvenated :Is subframe of: Cycle_of_existence_scenario
Ceasing_to_be :Is subframe of: Cycle_of_existence_scenario
Surviving :Is subframe of: Cycle_of_existence_scenario
Cycle_of_existence_scenario :Is inherited by: Cycle_of_life_and_death"
,Cycle_of_life_and_death,,,,,,Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Cycle_of_life_and_death,,Cycle_of_life_and_death,?,"Aging :Is subframe of: Cycle_of_life_and_death
Being_born :Is subframe of: Cycle_of_life_and_death
Cycle_of_existence_scenario :Is inherited by: Cycle_of_life_and_death
Dead_or_alive :Is subframe of: Cycle_of_life_and_death
Death :Is subframe of: Cycle_of_life_and_death
Ontogeny :Is subframe of: Cycle_of_life_and_death"
,Damaging,"damage 1,
damage 2,
degradation 1,
degrade 1","dégradation 1b,
dégrader 1b,
détérioration 1,
détériorer 1b,
endommager 1","danificar 1,
dano 1,
degradação 1b,
degradar 1b",,"degradación 1b,
degradar 1b",Agent | Cause Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Damaging,An Agent or a Cause affects a Patient in such a way that the Patient is in poor condition.,Damaging,TooSpecific,"Cause_change_natural_feature :See also: Damaging
Damaging :See also: Cause_change_of_phase
Damaging :Is causative of: Deteriorating
Deteriorating :Is inchoative of: Damaging"
,Dead_or_alive,"alive 1,
dead 1,
live 3,
living 1","mort 1,
vivant 1,
en vie",,,,Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Dead_or_alive,A Patient is in the state of being alive or is no longer in this state.,Dead_or_alive,ExactMatch,Dead_or_alive :Is subframe of: Cycle_of_life_and_death
,Death,"death 1,
mortality 1",mortalité 1,,,,Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Death,The life of a Patient ends.,Death,ExactMatch,"Death :Is subframe of: Cycle_of_life_and_death
Death :Is inchoative of: Killing
Killing :Is causative of: Death"
,Decontamination,"decontaminate 1,
decontamination 1","assainir 1,
assainissement 1,
décontamination 1,
décontaminer 1,
dépolluer 1,
épuration 1,
épurer 1b,
purifier 1b",,,,Agent Source Material,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Decontamination,"An Agent removes Material, which typically alters the composition of a Source and can be harmful, from a Source.",?,NoMatch,
,Deteriorating,,"dégrader 1a,
détériorer 1a",,退化 1,"degradación 1a,
degradar 1a",Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Deteriorating,A Patient is affected in such a way that it is in poor condition.,?,NoMatch,"Damaging :Is causative of: Deteriorating
Deteriorating :Is inchoative of: Damaging
Undergo_change_of_state :Is inherited by: Deteriorating"
,Discharge,"discharge 3,
dump 1","déversement 2.1,
déverser 2b,
rejeter 1",,,,Agent Patient Destination,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Discharge,"An Agent releases a Patient in a Destination, intentionally or unintentionally, and can contribute to contaminate this Destination with the Patient.",?,NoMatch,"Discharge :Precedes: Cause_contamination
Discharge :Is causative of: Spilling
Spilling :Is inchoative of: Discharge"
,Distribution,"distributed 1,
distribution 2,
range 3","distribution 2,
réparti 1,
répartition 1",,,,Theme Expanse | Location | Location1 | Location2,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Distribution,,?,NoMatch,"Distribution :See also: Abundance
Residence :Is used by: Distribution"
,Disturbing,"disturb 1,
disturbance 1,
harass 1","dérangement 1,
déranger 1",,,,Agent | Cause Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Disturbing,,?,NoMatch,Taking :Is inherited by: Disturbing
,Driver,motorist 1,conducteur 2,,,,Agent Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Driver,,?,NoMatch,"Driver :See also: Human_by_use
Driver :See also: Operate_vehicle
Driver :See also: Passenger"
,Drought,drought 1,sécheresse 1,,干旱 2,,Location Time,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Drought,,?,NoMatch,Drought :Is subframe of: Weather_event
,Electricity,electricity 1,électricité 1,,,,Agent Purpose Destination Source,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Electricity,A form of energy produced by a Source and used by an Agent to feed a Destination and make this Destination work or for a specific Purpose related to the well being of the Agent..,Electricity,?,
,Elements_and_compounds,"arsenic 1,
chloramine 1,
chlorine 1,
iodine 1,
nitrogen 1","azote 1,
oxygène 1",,,,,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Elements_and_compounds,A chemical substance usually associated with a symbol that can represent a threat to the environment if found in abnormal concentrations.,?,NoMatch,"Substance :Is inherited by: Elements_and_compounds
Elements_and_compounds :Is inherited by: Gas"
,Emitting,"emission 1,
emission 2.1,
emit 1,
emit 2,
inject 1,
radiate 1,
release 1a,
release 1b,
release 1b.1","émettre 1,
émettre 2,
émission 1,
émission 2.1,
injecter 1,
libération 1,
libérer 1a,
libérer 1b","emissão 1,
emitir 1","排放 1,
排放 2,
辐射 1,
释放 1a,
释放 1b",emitir 2,"Agent
Source
Patient
Destination",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Emitting,An Agent or a Source discharges a Patient into a Destination.,Emitting,?,"Emitting :Precedes: Reflecting
Emitting :Precedes: Soaking_up
Soaking_up :Precedes: Emitting"
,Emptying,"discharge 1b,
discharge 1b.1","décharge 1,
décharger 1b",,,,"Agent
Source
Means",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Emptying,An Agent removes a Means from a Source.,Emptying,?,
,Endangered,"endangered 1,
imperiled 1","en péril 1,
poser un/une danger,
poser un/une risque,
constituer un/une danger,
constituer un/une menace,
constituer un/une risque,
présenter un/une danger,
présenter un/une menace,
présenter un/une risque,
représenter un/une danger,
représenter un/une menace,
représenter un/une risque",,,,Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Endangered,,?,NoMatch,
,Endangering,"endanger 1,
imperil 1,
threaten 1,
pose a risk,
pose a threat","menacer 1,
poser un/une danger,
poser un/une risque,
constituer un/une danger,
constituer un/une menace,
constituer un/une risque,
présenter un/une danger,
présenter un/une menace,
présenter un/une risque,
représenter un/une danger,
représenter un/une menace,
représenter un/une risque
",,威胁 1,,"Cause
Patient",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Endangering,A Cause is responsible for placing a Patient at risk.,Endangering,ExactMatch,"Endangering :Is causative of: Being_at_risk
Endangering :Is causative of: Endangered
Endangering :See also: Risky_situation
"
,Energy_use,,,,,,"Destination
Means",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Energy_use,,?,NoMatch,"Energy_use :Is perspectivized in: Give_energy
Energy_use :Is perspectivized in: Make_use_of_energy"
,Estimating,"estimate 1b,
estimation 1","estimation 1,
estimer 1a,
estimer 1b",,"估算 1,
估计 1",,"Agent
Patient
Value
Method",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Estimating,An Agent carries out an approximate calculation so as to arrive at an approximate Value for a Patient with a specific Method., Estimating ,?,"Estimating :See also: Assessing
Estimating :Precedes: Predicting
Estimating :Is subframe of: Predicting_scenario"
,Fertilizing,fertilize 1,"fertilisation 1,
fertiliser 1b",,,,"Agent
Destination
Means",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Fertilizing,,?,NoMatch,"Fertilizing :Is subframe of: Growing_food
Fertilizing :Precedes: Planting"
,Fertilizing_animal,spawn 1,"fécondation 1,
féconder 1,
frai 1,
frayer 1",,,,"Agent
Patient",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Fertilizing_animal,,?,NoMatch,"Laying_eggs :Precedes: Fertilizing_animal
Procreative_sex :Precedes: Fertilizing_animal
Fertilizing_animal :Precedes: Giving_birth"
,Filling,"charge 1b,
fueling 1,
recharge 1b,
refueling 1","charge 1,
charger 1b,
plein 1,
recharge 1,
recharger 1b,
stocker 2b",,,,"Agent
Destination
Means",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Filling,An Agent places a Means in a Destination., Filling,?,"Attaching :Precedes: Filling
Filling :Is causative of: Becoming_filled
Becoming_filled :Is inchoative of: Filling"
,Flood,flood 1,"inondation 1,
inonder 1",,洪水 1,,"Cause
Location",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Flood,A Cause fills a Location with water.,?,NoMatch,Flood :Is subframe of: Weather_event
,Food,"fish 2,
food 1","aliment 1,
blé 1,
céréale 1,
poisson 2",,,,Agent,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Food,A resource used by an Agent to grow and survive.,Food,?,Resource :Is inherited by: Food
,Food_gathering,"harvest 1,
harvest 1.1","récolte 1.1,
récolter 1",,,,"Agent
Patient
Source",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Food_gathering,An Agent removes a Patient that is ready to an accepted degree from a Source. The Patient comes from a Source where it has been grown and matured.,Food_gathering,ExactMatch,"Planting :Precedes: Food_gathering
Food_gathering :Is subframe of: Growing_food"
,Forestry,forestry 1,"foresterie 1,
sylviculture 1",,,,"Agent
Patient",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Forestry,,?,NoMatch,"Adding_trees_in_location :Is subframe of: Forestry
Removing_trees_from_location :Is subframe of: Forestry
Cutting_trees :Is subframe of: Forestry
Forestry :Is subframe of: Using_resource"
,Functional_area,aquifer 1,aquifère 1,,,,Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Functional_area,An area serving a specific purpose related to the Patient.,?,NoMatch,Locale :Is inherited by: Functional_area
,Gas,"carbon dioxide 1,
carbon 1,
gas 1,
methane 1,
ozone 1","dioxyde de carbone 1,
méthane 1",,"二氧化碳 1,
甲烷 1",dióxido de carbono 1,,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Gas,A substance in gazeous form that is often found in high concentrations in the atmosphere.,?,NoMatch,"Elements_and_compounds :Is inherited by: Gas
Gas :Is used by: Gas_by_producer"
,Gas_by_producer,greenhouse gas 1,gaz à effet de serre 1,,温室气体 1,,Agent | Cause,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Gas_by_producer,,?,NoMatch,"Gas :Is used by: Gas_by_producer
Gas_by_producer :See also: Greenhouse_effect"
,Give_energy,fuel 2a,alimenter 2b,,,,"Means
Destination",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Give_energy,,?,NoMatch,Energy_use :Is perspectivized in: Give_energy
,Giving_birth,"parturition 1,
produce 3,
give birth","mettre bas 1,
mise bas 1,
donner naissance",,,,"Agent
Patient",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Giving_birth,An Agent gives life to a Patient.,Giving_birth,?,"Birth_scenario :Is perspectivized in: Giving_birth
Fertilizing_animal :Precedes: Giving_birth
Giving_birth :Is subframe of: Procreation"
,Greenhouse_effect,greenhouse effect 1,effet de serre 1,,温室效应 1,,"Agent | Cause
Location",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Greenhouse_effect,,?,NoMatch,"Greenhouse_effect :See also: Gas_by_producer
Greenhouse_effect :Is perspectivized in: Accumulating"
,Grouping_by_number,"colony 1,
community 1,
population 2","colonie 1,
communauté 1,
peuplement 1,
population 2,
sous-population 1",,,,Part,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Grouping_by_number,A group of Parts that share some features and that interact in a given environment.,?,NoMatch,Biological_entity :Is used by: Grouping_by_number
,Grouping_by_type,"fauna 1,
flora 1,
vegetation 1","avifaune 1,
faune 1,
flore 1,
végétation 1",,,,Part Location,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Grouping_by_type,A group of Parts that is characteristic of a Location.,?,NoMatch,Biological_classification :Is used by: Grouping_by_type
,Growing_food,"cropping 1,
cultivate 1,
cultivation 1,
grow 3,
intercropping 1,
monoculture 1.1","cultiver 1,
culture 1.1,
monoculture 1.1",cultura 1.1,,,"Agent
Patient
Destination",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Growing_food,,Growing_food,?,"Growing_food :Is subframe of: Agriculture
Planting :Is subframe of: Growing_food
Preparing_soil :Is subframe of: Growing_food
Fertilizing :Is subframe of: Growing_food
Food_gathering  :Is subframe of: Growing_food"
,Hide_in_ground,"landfill 2,
landfilling 1","enfouir 1,
enfouissement 1",,,,"Agent
Patient
Location",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Hide_in_ground,,?,NoMatch,Hide_in_ground :Is subframe of: Removing
,Human_activity,activity 1,activité 1,,活动 1,,"Agent
Patient",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Human_activity,An Agent engages in a series of acttions the purpose of which is to exploit a Patient for his own use.,?,NoMatch,"Human_activity :Is inherited by: Cause_to_make_progress
Human_activity :See also: Human_by_activity
Human_activity :Is inherited by: Manufacturing
Human_activity :Is inherited by: Separating
Human_activity :Has property: Sustainability
Human_activity :Is inherited by: Taking
Human_activity :Is inherited by: Using_resource"
,Human_by_activity,"farmer 1,
fisher 1,
hunter 1,
manufacturer 1,
producer 1","agriculteur 1,
braconnier 1,
chasseur 1,
constructeur 1,
éleveur 1,
exploitant 1,
fabricant 1,
fermier 1,
pêcheur 1,
producteur 1",,,,"Agent
Patient",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Human_by_activity,An Agent that is characterized according to the activity it carries out with respect to a Patient.,?,NoMatch,"Human_by_activity :See also: Businesses
Human_by_activity :See also: Human_activity
Human_entity :Is inherited by: Human_by_activity"
,Human_by_conviction,environmentalist 1,"climato-sceptique 1,
défenseur 1,
écologiste 1,
environnementaliste 1",,,,"Agent
Patient
Topic",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Human_by_conviction,,?,NoMatch,Human_entity :Is inherited by:  Human_by_conviction
,Human_by_knowledge,"biologist 1,
botanist 1,
climatologist 1,
ecologist 1,
expert 1","biologiste 1,
expert 1",,专家 1,,"Agent
Topic | Domain",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Human_by_knowledge,An Agent who has an expertise in a given Domain and uses this expertise to observe and understand a Patient.,?,NoMatch,"Human_entity :Is inherited by: Human_by_knowledge
Scientific_field :Is used by: Human_by_knowledge
Human_by_knowledge :See also: Predicting_scenario"
,Human_by_number,,collectivité 2,,,,Part,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Human_by_number,,?,NoMatch,"Human_entity :Is used by: Human_by_number
Human_by_number :Is inherited by: Human_by_number_in_location"
,Human_by_number_in_location,,"collectivité 1,
population 1",,,,Part,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Human_by_number_in_location,,?,NoMatch,Human_by_number :Is inherited by: Human_by_number_in_location
,Human_by_use,consumer 1,"consommateur 1,
utilisateur 1",,,,"Agent
Patient",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Human_by_use,An Agent who is characterized according to the use he/she makes of a given Patient.,?,NoMatch,"Human_by_use :See also: Driver
Human_by_use :See also: Passenger
Human_entity :Is inherited by: Human_by_use"
,Human_entity,humanity 1,"homme 1,
homme 2,
humain 2,
humain 3,
humanité 1",homem 1,,,,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Human_entity,,?,NoMatch,"Human_entity :See also: Biological_entity
Human_entity :Is inherited by: Human_by_activity
Human_entity :Is inherited by: Human_by_conviction
Human_entity :Is inherited by: Human_by_knowledge
Human_entity :Is inherited by: Human_by_use
Human_entity :Is used by: Human_by_number"
,Human_hunting,"hunt 2,
poach 1","braconnage 1,
braconner 1,
chasse 2,
chasser 2",,,,Agent Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Human_hunting,"An Agent attempts to catch a Patient, often with the help of an instrument, for food, leisure, sport of commercial purposes.",?,NoMatch,"Human_hunting :See also: Hunting
Taking :Is inherited by: Human_hunting "
,Hunting,"hunt 1,
predation 1,
prey 2","chasse 1,
chasser 1,
prédation 1",,,,Agent Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Hunting,"An Agent attempts to catch a Patient, usually to kill the Patient and use it as food.",Hunting,?,"Hunting :See also: Hunter
Hunting :See also: Human_hunting
Species_activity :Is inherited by: Hunting"
,Ingestion,"consume 2,
feed 1","alimentation 2a,
alimenter 1,
consommation 3,
consommer 3,
nourrir 1a",,,,"Agent
Means",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Ingestion,An Agent consumes a Means (food) to survive and grow.,Ingestion,?,Species_activity :Is inherited by: Ingestion
,Judgment_of_impact_on_the_environment,"clean 1,
environmental 2,
green 1","écologique 2,
environnemental 2,
propre 1,
vert 1","ambiental 2,
ecológico 2",,,"Instrument
Cause
Means",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Judgment_of_impact_on_the_environment,,?,NoMatch,"Judgment_of_impact_on_the_environment :See also: Recreation
Judgment_of_impact_on_the_environment :See also: Sustainability"
,Judgment_of_intensity,"extreme 1,
extreme 2,
intense 1,
intensity 1,
severe 1,
severity 1","extrême 1,
extrême 2,
intense 1,
intensité 1,
violent 1",,"严重 1,
极端 1",,Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Judgment_of_intensity,The characterization of the intensity of a Patient.,Judgment_of_intensity,?,Weather_event :Has property: Judgment_of_intensity
,Killing,"decimate 1,
kill 1,
killing 1,
shoot 1,
shooting 1,
cause a death,
massive killing","abattage 1,
abattre 1,
décimer 1,
tuer 1,
causer un/une mort,
entraîner un/une mort",,,,"Cause | Agent
Patient",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Killing,An Agent or a Cause causes the death of the Patient.,Killing ,?,"Killing :Is causative of: Death
Death :Is inchoative of: Killing"
,Laying_eggs,"lay 1,
laying 1","pondre 1,
ponte 1",,,,"Agent
Patient",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Laying_eggs,,?,NoMatch,Laying_eggs :Precedes: Fertilizing_animal
,Locale,"Earth 1,
globe 1,
land 1,
ocean 1,
planet 1,
sea 1,
world 1","globe 1,
mer 1,
monde 1,
montagne 1,
océan 1,
planète 1,
Terre 1,
terre 2",,,,,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Locale,A relatively stable bounded area of the world.,Locale,ExactMatch,"Locale :Is inherited by: Covering_locale
Locale :Is inherited by: Functional_area
Locale :Is inherited by: Locale_by_beneficiary
Locale :Is inherited by: Locale_by_conditions
Locale :Is inherited by: Locale_by_division
Locale :Is inherited by: Locale_by_exploitation
Locale :Is used by: Locale_by_reference
Locale :Is used by: Locale_extent
Locale :Is inherited by: Natural_features
Locale :Is inherited by: Political_locale"
,Locale_by_beneficiary,"environment 2,
habitat 1,
range 2","environnement 2,
habitat 1,
résidence 1",,"栖息地 1,
环境 2",,Theme,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Locale_by_beneficiary,"A bounded area with specific components used by a Theme (for living, reproducing, etc.).",?,NoMatch,"Locale :Is inherited by: Locale_by_beneficiary
Locale_for_beneficiary :Is inherited by: Locale_by_beneficiary
Locale_by_beneficiary :Is inherited by: Locale_by_conditions_for_beneficiary
Locale_by_beneficiary :Is inherited by: Locale_by_purpose"
,Locale_by_conditions,"agroecosystem 1,
ecosystem 1,
environment 1","agroécosystème 1,
biome 1,
écosystème 1,
écozone 1,
environnement 1","ecossistema 1,
meio ambiente 1","环境 1,
生态系统 1",,Support,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Locale_by_conditions,An area of the Support defined according to the set of conditions and components it contains.,?,NoMatch,"Locale :Is inherited by: Locale_by_conditions
Locale_by_conditions :Is inherited by: Locale_by_conditions_for_beneficiary"
,Locale_by_conditions_for_beneficiary,,milieu 1,,,,"Support
Theme",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Locale_by_conditions_for_beneficiary,,?,NoMatch,"Locale_by_beneficiary :Is inherited by: Locale_by_conditions_for_beneficiary
Locale_by_conditions :Is inherited by: Locale_by_conditions_for_beneficiary"
,Locale_by_division,"area 1,
region 1,
territory 2,
zone 1","région 1,
territoire 2,
zone 1",região 1,区域 1,,Support,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Locale_by_division,A relatively stable bounded location that is a part of a Support. It is generally a division of a Locale.,?,NoMatch,Locale :Is inherited by: Locale_by_division
,Locale_by_exploitation,land 2,"rizière 1,
terre 4",,,,Agent Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Locale_by_exploitation,,?,NoMatch,Locale :Is inherited by: Locale_by_exploitation
,Locale_by_feature,"mangrove 1,
marsh 1,
swamp 1","désert 1,
mangrove 1,
marais 1,
marécage 1,
tourbière 1",,,,Support Part,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Locale_by_feature,A large or small ecological area of a larger Support with a specific Part that characterizes it.,?,NoMatch,Natural_features :Is inherited by: Locale_by_feature
,Locale_by_purpose,"hibernaculum 1,
site 1,
territory 1","aire 1,
frayère 1,
site 1,
territoire 1",,,,"Theme
Purpose",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Locale_by_purpose,"A bounded location used by a Theme for a specific Purpose (live, reproduce, etc.)",?,NoMatch,Locale_by_beneficiary :Is inherited by: Locale_by_purpose
,Locale_by_reference,,"équateur 1,
hémisphère 1,
latitude 1,
longitude 1,
pôle 1,
tropique 1",,,,Support,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Locale_by_reference,,?,NoMatch,Locale :Is used by: Locale_by_reference
,Locale_extent,"global 1,
worldwide 1","global 1,
local 1,
mondial 1,
planétaire 1",,,,Event | Entity,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Locale_extent,The extent to which an Entity spreads on or an Event occurs in a Locale.,?,NoMatch,Locale :Is used by: Locale_extent
,Locale_for_beneficiary,"park 1,
reserve 1",réserve 2,,,,Agent Theme,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Locale_for_beneficiary,"A bounded area usually managed by an Agent for use by Theme (for protection, survival, reproduction, etc.).",?,NoMatch,Locale_for_beneficiary :Is inherited by: Locale_by_beneficiary
,Make_use_of_energy,,"consommation 2,
consommer 2",,,,"Destination
Means",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Make_use_of_energy,,?,NoMatch,"Becoming_filled :Precedes: Make_use_of_energy
Energy_use :Is perspectivized in: Make_use_of_energy
Operated_with_means :Is used by: Make_use_of_energy"
,Managing_waste,"manage 1,
management 1",,,,,"Agent
Patient",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Managing_waste,An Agent performs a series of steps in order to ensure that the Patient is properly processed.,?,NoMatch,"Collecting :Is subframe of: Managing_waste
Recover :Is subframe of: Managing_waste
Removing :Is subframe of: Managing_waste
Sorting :Is subframe of: Managing_waste
Managing_waste :See also: Waste"
,Manufacturing,"manufacture 1,
produce 2,
production 2","fabrication 1,
fabriquer 1,
production 2,
produire 2",,,,Agent Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Manufacturing,"An Agent produces or exploits a Patient, usually in order to make profits..",Manufacturing,?,Human_activity :Is inherited by: Manufacturing
,Means_of_transportation,transportation 1.2,transports 1,,,,"Patient
Source
Destination",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Means_of_transportation,An entity specifically designed to bring a Patient from a Source to a Destination.,?,NoMatch,"Means_of_transportation :Is perspectivized in: Vehicle
Means_of_transportation :Is perspectivized in: Vehicle_for_transportation"
,Measuring,"measure 1a,
measure 1b","mesurer 1a,
mesurer 1b",,,,"Agent
Patient
Instrument",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Measuring,,?,NoMatch,"Measuring :Precedes: Predicting
Measuring :Is subframe of: Predicting_scenario"
,Mining,"extract 1,
mine 1","extraction 1,
extraire 1",,,,"Agent
Patient
Source",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Mining,"An Agent attempts to obtain a desirable Patient, located in a Source, by digging or tunneling in this Source.",Mining,?,Mining :Is subframe of: Using_resource
,Motion,"drive 1,
travel 1",parcourir 1,,,,"Instrument
Expanse",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Motion,,Motion,?,
